Program,n,i,s,p,Threads,Time (s),Output Match
pthread_life,200,200,5678,0.4,1,1.7227575710021483,No
pthread_life,200,200,5678,0.4,2,1.7069990400013921,No
pthread_life,200,200,5678,0.4,4,1.7882347380000283,No
pthread_life,200,200,5678,0.4,8,1.691710258997773,No
pthread_life,200,200,5678,0.4,16,1.7153971759980777,No
pthread_life,200,300,1234,0.2,1,1.7698576219991082,No
pthread_life,200,300,1234,0.2,2,1.7468426589985029,No
pthread_life,200,300,1234,0.2,4,1.8898930269970151,No
pthread_life,200,300,1234,0.2,8,1.656335499999841,No
pthread_life,200,300,1234,0.2,16,1.717735960999562,No
pthread_life,200,300,1234,0.4,1,1.666163729998516,No
pthread_life,200,300,1234,0.4,2,1.6112443909987633,No
pthread_life,200,300,1234,0.4,4,1.7523655930017412,No
pthread_life,200,300,1234,0.4,8,1.9563744219994987,No
pthread_life,200,300,1234,0.4,16,1.647239821999392,No
pthread_life,200,300,5678,0.2,1,1.6941538499995659,No
pthread_life,200,300,5678,0.2,2,1.6459470480003802,No
pthread_life,200,300,5678,0.2,4,1.5978416390025814,No
pthread_life,200,300,5678,0.2,8,1.6725605799983896,No
pthread_life,200,300,5678,0.2,16,1.8617801010004769,No
pthread_life,200,300,5678,0.4,1,1.739006645999325,No
pthread_life,200,300,5678,0.4,2,1.8043438309978228,No
pthread_life,200,300,5678,0.4,4,1.741295584000909,No
pthread_life,200,300,5678,0.4,8,1.6009222590000718,No
pthread_life,200,300,5678,0.4,16,1.6892489380006737,No
pthread_life,200,400,1234,0.2,1,1.7517564529989613,No
pthread_life,200,400,1234,0.2,2,1.6449926540008164,No
pthread_life,200,400,1234,0.2,4,1.6807013420002477,No
pthread_life,200,400,1234,0.2,8,1.7084651139994094,No
pthread_life,200,400,1234,0.2,16,1.7358791410006233,No
pthread_life,200,400,1234,0.4,1,1.85137326900076,No
pthread_life,200,400,1234,0.4,2,1.6449976290023187,No
pthread_life,200,400,1234,0.4,4,1.7437148039971362,No
pthread_life,200,400,1234,0.4,8,1.7340402449990506,No
pthread_life,200,400,1234,0.4,16,1.8257756289967801,No
pthread_life,200,400,5678,0.2,1,1.7042933650009218,No
pthread_life,200,400,5678,0.2,2,1.5532252499979222,No
pthread_life,200,400,5678,0.2,4,1.6493748700013384,No
pthread_life,200,400,5678,0.2,8,1.554049163001764,No
pthread_life,200,400,5678,0.2,16,1.7366802750002535,No
pthread_life,200,400,5678,0.4,1,1.6200767410009576,No
pthread_life,200,400,5678,0.4,2,1.6309178219999012,No
pthread_life,200,400,5678,0.4,4,1.8204675929991936,No
pthread_life,200,400,5678,0.4,8,1.7458865490007156,No
pthread_life,200,400,5678,0.4,16,1.6952568050000991,No
pthread_life,300,100,1234,0.2,1,1.5629438100004336,No
pthread_life,300,100,1234,0.2,2,1.79865756000072,No
pthread_life,300,100,1234,0.2,4,1.5261142240015033,No
pthread_life,300,100,1234,0.2,8,1.7803566830007185,No
pthread_life,300,100,1234,0.2,16,1.7098395009998058,No
pthread_life,300,100,1234,0.4,1,1.751956207001058,No
pthread_life,300,100,1234,0.4,2,1.8516124159978062,No
pthread_life,300,100,1234,0.4,4,1.7178646950014809,No
pthread_life,300,100,1234,0.4,8,1.6307626039997558,No
pthread_life,300,100,1234,0.4,16,1.7358720650008763,No
pthread_life,300,100,5678,0.2,1,1.8112090770009672,No
pthread_life,300,100,5678,0.2,2,1.6697033189993817,No
pthread_life,300,100,5678,0.2,4,1.7682101099999272,No
pthread_life,300,100,5678,0.2,8,1.6750655399991956,No
pthread_life,300,100,5678,0.2,16,1.644110854002065,No
pthread_life,300,100,5678,0.4,1,1.729651317000389,No
pthread_life,300,100,5678,0.4,2,1.7057884160021786,No
pthread_life,300,100,5678,0.4,4,1.724314492999838,No
pthread_life,300,100,5678,0.4,8,1.7538364129977708,No
pthread_life,300,100,5678,0.4,16,1.8590370149977389,No
pthread_life,300,200,1234,0.2,1,1.579648458999145,No
pthread_life,300,200,1234,0.2,2,1.6878755609977816,No
pthread_life,300,200,1234,0.2,4,1.6855237080017105,No
pthread_life,300,200,1234,0.2,8,1.961358795997512,No
pthread_life,300,200,1234,0.2,16,1.8389067680000153,No
pthread_life,300,200,1234,0.4,1,1.6481937950011343,No
pthread_life,300,200,1234,0.4,2,1.7753128889999061,No
pthread_life,300,200,1234,0.4,4,1.7691980019990297,No
pthread_life,300,200,1234,0.4,8,1.7420132200022636,No
pthread_life,300,200,1234,0.4,16,1.755804223997984,No
pthread_life,300,200,5678,0.2,1,1.649554868999985,No
pthread_life,300,200,5678,0.2,2,1.7771082400031446,No
pthread_life,300,200,5678,0.2,4,1.6865547529996547,No
pthread_life,300,200,5678,0.2,8,1.6723723280010745,No
pthread_life,300,200,5678,0.2,16,1.8655070029999479,No
pthread_life,300,200,5678,0.4,1,1.6220320020001964,No
pthread_life,300,200,5678,0.4,2,1.7199168920014927,No
pthread_life,300,200,5678,0.4,4,1.6965149610005028,No
pthread_life,300,200,5678,0.4,8,1.7381532640029036,No
pthread_life,300,200,5678,0.4,16,1.5932362530002138,No
pthread_life,300,300,1234,0.2,1,1.8016525759994693,No
pthread_life,300,300,1234,0.2,2,1.6718327429989586,No
pthread_life,300,300,1234,0.2,4,1.6618787109982804,No
pthread_life,300,300,1234,0.2,8,1.6387699879996944,No
pthread_life,300,300,1234,0.2,16,1.689631091998308,No
pthread_life,300,300,1234,0.4,1,1.7573843190002663,No
pthread_life,300,300,1234,0.4,2,1.7710525069996947,No
pthread_life,300,300,1234,0.4,4,1.7188238100025046,No
pthread_life,300,300,1234,0.4,8,1.6813959689970943,No
pthread_life,300,300,1234,0.4,16,1.8487578950007446,No
pthread_life,300,300,5678,0.2,1,1.6005528589994356,No
pthread_life,300,300,5678,0.2,2,1.6212382960002287,No
pthread_life,300,300,5678,0.2,4,1.6739285260009638,No
pthread_life,300,300,5678,0.2,8,1.6488176669990935,No
pthread_life,300,300,5678,0.2,16,1.7973773990015616,No
pthread_life,300,300,5678,0.4,1,1.822504731000663,No
pthread_life,300,300,5678,0.4,2,1.8660264819991426,No
pthread_life,300,300,5678,0.4,4,1.6675731719988107,No
pthread_life,300,300,5678,0.4,8,1.7502759849994618,No
pthread_life,300,300,5678,0.4,16,1.7899727340009122,No
pthread_life,300,400,1234,0.2,1,1.5670287729990378,No
pthread_life,300,400,1234,0.2,2,1.7187173679994885,No
pthread_life,300,400,1234,0.2,4,1.6446068019977247,No
pthread_life,300,400,1234,0.2,8,1.7549213610000152,No
pthread_life,300,400,1234,0.2,16,1.773585083999933,No
pthread_life,300,400,1234,0.4,1,1.696907192999788,No
pthread_life,300,400,1234,0.4,2,1.5974141980004788,No
pthread_life,300,400,1234,0.4,4,1.7385409449998406,No
